prime,target,clarity,prime_correct,prime_predicted,target_correct,target_predicted,target_prob,max_target_activation,max_winner_activation,n400_mean,n400_peak,n400_final,semantic_sim,semantic_condition,true_similarity
answer,answer,noisy,True,answer,False,anger,0.0012057286221534014,0.0011591205839067698,0.022723084315657616,0.016334038223139943,0.021448485553264618,0.021448485553264618,0.6596691012382507,same,1.0
antique,antique,clear,True,antique,True,antique,0.0012842045398429036,0.06388937681913376,0.06388937681913376,0.01216116548050195,0.030425339937210083,0.030425339937210083,0.8830897808074951,same,1.0
antique,antique,noisy,True,antique,False,evening,0.0012058179127052426,0.0006627894472330809,0.013050852343440056,0.017136938077397645,0.021025020629167557,0.021025020629167557,0.6451245546340942,same,1.0
appeal,appeal,clear,True,appeal,True,appeal,0.0012361148837953806,0.025715086609125137,0.025715086609125137,0.009143623708281666,0.021062277257442474,0.021062277257442474,0.9035699367523193,same,1.0
appeal,appeal,noisy,True,appeal,False,breakfast,0.0012103349436074495,0.003817575750872493,0.017160888761281967,0.018294265068136157,0.024333743378520012,0.024333743378520012,0.5667785406112671,same,1.0
apple,apple,clear,True,apple,True,apple,0.0012385250302031636,0.027660902589559555,0.027660902589559555,0.00930676938360557,0.02125539444386959,0.02125539444386959,0.9010722041130066,same,1.0
apple,apple,noisy,True,apple,False,bother,0.0012058003339916468,0.0008763103396631777,0.01534340064972639,0.01750820068269968,0.022205673158168793,0.022205673158168793,0.6079298257827759,same,1.0
apron,apron,clear,True,apron,True,apron,0.001295700203627348,0.07280925661325455,0.07280925661325455,0.01686040008952841,0.041383564472198486,0.041383564472198486,0.9045496582984924,same,1.0
apron,apron,noisy,True,apron,False,chimney,0.0012058401480317116,0.0003144141810480505,0.014335707761347294,0.021481668399646877,0.027920719236135483,0.027920719236135483,0.561726987361908,same,1.0
area,area,clear,False,arrow,False,arrow,0.0012314418563619256,0.02196371927857399,0.021988507360219955,0.00840622022561729,0.01876680739223957,0.01876680739223957,0.9249793887138367,same,1.0
area,area,noisy,False,arrow,False,mattress,0.0012058292049914598,0.00043669415754266083,0.017853662371635437,0.0197548240525648,0.02645019069314003,0.02645019069314003,0.4853203296661377,same,1.0
army,army,clear,True,army,True,army,0.0012775863287970424,0.058706749230623245,0.058706749230623245,0.011472313122358174,0.028405319899320602,0.028405319899320602,0.8820390701293945,same,1.0
army,army,noisy,True,army,False,moment,0.001205896376632154,0.00027827132726088166,0.01726122759282589,0.01920583164691925,0.02557319402694702,0.02557319402694702,0.5300744771957397,same,1.0
arrow,arrow,clear,True,arrow,True,arrow,0.001324550830759108,0.09482013434171677,0.09482013434171677,0.019587620208505543,0.04711012542247772,0.04711012542247772,0.931780993938446,same,1.0
arrow,arrow,noisy,True,arrow,False,iron,0.001213006442412734,0.0059921047650277615,0.016033314168453217,0.01843280526343733,0.021095499396324158,0.021095499396324158,0.8147349953651428,same,1.0
artist,artist,clear,True,artist,True,artist,0.0012459848076105118,0.03372723609209061,0.03372723609209061,0.011043396569322794,0.025909818708896637,0.025909818708896637,0.9039684534072876,same,1.0
artist,artist,noisy,True,artist,False,princess,0.0012059608707204461,0.00030355184571817517,0.01753390207886696,0.021242777463048697,0.026138704270124435,0.026138704270124435,0.5581972599029541,same,1.0
aspect,aspect,clear,True,aspect,True,aspect,0.0012697965139523149,0.05261385068297386,0.05261385068297386,0.011781813867390157,0.027715520933270454,0.027715520933270454,0.8961692452430725,same,1.0
aspect,aspect,noisy,True,aspect,False,stomach,0.0012058241991326213,0.0004368696827441454,0.022152723744511604,0.019266988950781525,0.025309327989816666,0.025309327989816666,0.5911425948143005,same,1.0
asphalt,asphalt,clear,True,asphalt,True,asphalt,0.001288222847506404,0.06701333820819855,0.06701333820819855,0.012141888055950404,0.02977016381919384,0.02977016381919384,0.8886252045631409,same,1.0
asphalt,asphalt,noisy,True,asphalt,False,issue,0.0012141107581555843,0.006897542625665665,0.01488080620765686,0.01951206617709249,0.02551194652915001,0.02551194652915001,0.5902062654495239,same,1.0
assault,assault,clear,True,assault,True,assault,0.0012993072159588337,0.07559079676866531,0.07559079676866531,0.01440969038521871,0.03603609651327133,0.03603609651327133,0.8932585120201111,same,1.0
assault,assault,noisy,True,assault,False,gallon,0.0012059269938617945,0.00046108130482025445,0.013731683604419231,0.02006758537981659,0.0253757331520319,0.0253757331520319,0.5721686482429504,same,1.0
athlete,athlete,clear,True,athlete,True,athlete,0.001289145671762526,0.06771686673164368,0.06771686673164368,0.013279657284263521,0.03193049132823944,0.03193049132823944,0.8929533958435059,same,1.0
athlete,athlete,noisy,True,athlete,False,soldier,0.0012151483679190278,0.007629972416907549,0.025282718241214752,0.016837307575158774,0.02111980691552162,0.02111980691552162,0.6667286157608032,same,1.0
atom,atom,clear,True,atom,True,atom,0.0012915312545374036,0.06953741610050201,0.06953741610050201,0.012510072223842143,0.03181567043066025,0.03181567043066025,0.8917155265808105,same,1.0
atom,atom,noisy,True,atom,False,signal,0.0012104420457035303,0.003840133547782898,0.014538824558258057,0.015897542086429895,0.020675549283623695,0.020675549283623695,0.6666321158409119,same,1.0
attempt,attempt,clear,True,attempt,True,attempt,0.0013057689648121595,0.08053140342235565,0.08053140342235565,0.012545343829784542,0.030357174575328827,0.030357174575328827,0.8897207975387573,same,1.0
attempt,attempt,noisy,True,attempt,False,spirit,0.001205895096063614,0.0005358979688026011,0.014577829279005527,0.018827361973933875,0.023788947612047195,0.023788947612047195,0.5888931751251221,same,1.0
audience,audience,clear,True,audience,True,audience,0.0012940538581460714,0.07152216136455536,0.07152216136455536,0.0127978426059708,0.03023752197623253,0.03023752197623253,0.8868834972381592,same,1.0
audience,audience,noisy,True,audience,False,incense,0.0012098922161385417,0.003445572219789028,0.012062379159033298,0.018864669702015818,0.024446260184049606,0.024446260184049606,0.6421172022819519,same,1.0
author,author,clear,True,author,True,author,0.0013053574366495013,0.08020990341901779,0.08020990341901779,0.01908407748909667,0.04408186674118042,0.04408186674118042,0.935449481010437,same,1.0
author,author,noisy,True,author,False,sewer,0.0012098544975742698,0.0035106553696095943,0.015406378544867039,0.019735666677355768,0.023349300026893616,0.023349300026893616,0.7869217991828918,same,1.0
autumn,autumn,clear,True,autumn,True,autumn,0.0013387047220021486,0.10540042817592621,0.10540042817592621,0.015906550840009005,0.040534716099500656,0.040534716099500656,0.8925158977508545,same,1.0
autumn,autumn,noisy,True,autumn,False,profit,0.0012058692518621683,0.0003998390748165548,0.017993824556469917,0.019897616314701737,0.025877144187688828,0.025877144187688828,0.58651202917099,same,1.0
axle,axle,clear,True,axle,True,axle,0.0012236636830493808,0.01561377290636301,0.01561377290636301,0.00760813577985391,0.016923321411013603,0.016923321411013603,0.9104906916618347,same,1.0
axle,axle,noisy,True,axle,False,surprise,0.001205766573548317,0.00031004095217213035,0.02227487973868847,0.019382352485321462,0.026843411847949028,0.026843411847949028,0.5081874132156372,same,1.0
baby,baby,clear,False,buyer,False,buyer,0.0012600821210071445,0.044971760362386703,0.06502143293619156,0.01596995870443061,0.03797211870551109,0.03797211870551109,0.90620356798172,same,1.0
baby,baby,noisy,False,buyer,False,function,0.0012058881111443043,0.00020767342357430607,0.015403703786432743,0.022627037418074907,0.028076928108930588,0.028076928108930588,0.549571692943573,same,1.0
background,background,clear,True,background,True,background,0.0013940363423898816,0.1459665149450302,0.1459665149450302,0.0191628572284244,0.04706721752882004,0.04706721752882004,0.9203101992607117,same,1.0
background,background,noisy,True,background,False,belly,0.0012164772488176823,0.008776132017374039,0.020157674327492714,0.021608494353480636,0.026733489707112312,0.026733489707112312,0.6700988411903381,same,1.0
balance,balance,clear,True,balance,True,balance,0.0013102510711178184,0.08399312198162079,0.08399312198162079,0.01468909300956875,0.03552475571632385,0.03552475571632385,0.8903293013572693,same,1.0
balance,balance,noisy,True,balance,False,boredom,0.0012058834545314312,0.00040030948002822697,0.014108755625784397,0.01988419190328568,0.025223884731531143,0.025223884731531143,0.6331552863121033,same,1.0
balloon,balloon,clear,False,fashion,True,balloon,0.001225373474881053,0.017025575041770935,0.017025575041770935,0.008847375235985964,0.019730042666196823,0.019730042666196823,0.9157280325889587,same,1.0
balloon,balloon,noisy,False,fashion,False,manure,0.0012058585416525602,0.0007276760879904032,0.010236937552690506,0.018214167308993636,0.023228492587804794,0.023228492587804794,0.5816283822059631,same,1.0
ballot,ballot,clear,False,output,False,output,0.0012256900081411004,0.01726437360048294,0.017442915588617325,0.007900052395649254,0.017893223091959953,0.017893223091959953,0.9117060303688049,same,1.0
ballot,ballot,noisy,False,output,False,novel,0.001205960288643837,0.0006144318031147122,0.015049796551465988,0.017601330859586598,0.02108900249004364,0.02108900249004364,0.5825387239456177,same,1.0
bandage,bandage,clear,True,bandage,True,bandage,0.0012908375356346369,0.06907188892364502,0.06907188892364502,0.015272490371018648,0.037605635821819305,0.037605635821819305,0.8940127491950989,same,1.0
bandage,bandage,noisy,True,bandage,False,conscience,0.0012057778658345342,0.0014789866982027888,0.018936939537525177,0.021147821759805084,0.027575328946113586,0.027575328946113586,0.6030923128128052,same,1.0
banker,banker,clear,True,banker,True,banker,0.001272867084480822,0.05508527532219887,0.05508527532219887,0.016880462623201312,0.03982311859726906,0.03982311859726906,0.9091464281082153,same,1.0
banker,banker,noisy,True,banker,False,talent,0.0012096511200070381,0.003343750722706318,0.015720408409833908,0.01966954580973834,0.025616373866796494,0.025616373866796494,0.6925818920135498,same,1.0
bargain,bargain,clear,True,bargain,True,bargain,0.0012675562174990773,0.05092230439186096,0.05092230439186096,0.015056456873193383,0.03606220707297325,0.03606220707297325,0.9162684679031372,same,1.0
bargain,bargain,noisy,True,bargain,False,boredom,0.001205896376632154,0.00026740392786450684,0.016369637101888657,0.021702804275788367,0.02621273696422577,0.02621273696422577,0.6163248419761658,same,1.0
barrel,barrel,clear,False,buyer,True,barrel,0.0012670127907767892,0.05048340931534767,0.05048340931534767,0.01538781210500747,0.03691024333238602,0.03691024333238602,0.9038127064704895,same,1.0
barrel,barrel,noisy,False,buyer,False,butter,0.0012058467837050557,0.0005128287011757493,0.01894097961485386,0.020032295522280037,0.024756882339715958,0.024756882339715958,0.6295439600944519,same,1.0
basement,basement,clear,True,basement,True,basement,0.0013655602233484387,0.1253315508365631,0.1253315508365631,0.015684478837996722,0.038507990539073944,0.038507990539073944,0.8972179293632507,same,1.0
basement,basement,noisy,True,basement,False,distance,0.0012057906715199351,0.0010031344136223197,0.017673959955573082,0.01846808566711843,0.023728081956505775,0.023728081956505775,0.6451635956764221,same,1.0
basin,basin,clear,False,body,False,body,0.001245594583451748,0.03342442959547043,0.044306691735982895,0.014509173665195704,0.03411702811717987,0.03411702811717987,0.9060475826263428,same,1.0
basin,basin,noisy,False,body,False,boating,0.0012058576103299856,0.0005398470093496144,0.018008379265666008,0.020992625460959972,0.02744162827730179,0.02744162827730179,0.574516773223877,same,1.0
basket,basket,clear,True,basket,True,basket,0.0012770916800945997,0.058395616710186005,0.058395616710186005,0.015366996807511897,0.03677324950695038,0.03677324950695038,0.9094797372817993,same,1.0
basket,basket,noisy,True,basket,False,surprise,0.0012059238506481051,0.00015821961278561503,0.021598555147647858,0.022403583854436873,0.02792215347290039,0.02792215347290039,0.5677897930145264,same,1.0
battle,battle,clear,False,bottle,False,bottle,0.001279243966564536,0.060045026242733,0.06203210726380348,0.01558956793975085,0.03711189329624176,0.03711189329624176,0.9012725949287415,same,1.0
battle,battle,noisy,False,bottle,False,breakfast,0.0012084273621439934,0.0034545736853033304,0.039851490408182144,0.019819884728640318,0.028120629489421844,0.028120629489421844,0.6195075511932373,same,1.0
beauty,beauty,clear,True,beauty,True,beauty,0.0012563102645799518,0.0419488325715065,0.0419488325715065,0.010891867944039405,0.025385577231645584,0.025385577231645584,0.8940380811691284,same,1.0
beauty,beauty,noisy,True,beauty,False,dreamer,0.0012060210574418306,0.0002492627827450633,0.013375017791986465,0.01884821436740458,0.022196345031261444,0.022196345031261444,0.6174789667129517,same,1.0
beaver,beaver,clear,True,beaver,True,beaver,0.0012460589641705155,0.03374079614877701,0.03374079614877701,0.012539905897341668,0.02849094569683075,0.02849094569683075,0.9193045496940613,same,1.0
beaver,beaver,noisy,True,beaver,False,boredom,0.0012059202417731285,0.0004986238782294095,0.028634492307901382,0.020780731730163097,0.026962783187627792,0.026962783187627792,0.5080703496932983,same,1.0
bedroom,bedroom,clear,True,bedroom,True,bedroom,0.0012885626638308167,0.06734023988246918,0.06734023988246918,0.0161902218060568,0.03943406045436859,0.03943406045436859,0.9126407504081726,same,1.0
bedroom,bedroom,noisy,True,bedroom,False,whisper,0.0012058798456564546,0.000301366118947044,0.01317344419658184,0.02248485756199807,0.0287257581949234,0.0287257581949234,0.5620453357696533,same,1.0
beetle,beetle,clear,False,petal,False,petal,0.001237294520251453,0.0266963392496109,0.026799479499459267,0.00915647529438138,0.021259160712361336,0.021259160712361336,0.9005457758903503,same,1.0
beetle,beetle,noisy,False,petal,False,issue,0.0012056909035891294,0.000560586282517761,0.01392016839236021,0.017794010140001773,0.0250743068754673,0.0250743068754673,0.530418336391449,same,1.0
belief,belief,clear,True,belief,True,belief,0.0012917860876768827,0.06981975585222244,0.06981975585222244,0.015390181846916675,0.037186428904533386,0.037186428904533386,0.9036518335342407,same,1.0
belief,belief,noisy,True,belief,False,buyer,0.0012243663659319282,0.015194195322692394,0.02531236782670021,0.019397305104881524,0.0238806139677763,0.0238806139677763,0.6512376070022583,same,1.0
belly,belly,clear,True,belly,True,belly,0.001308423699811101,0.08260127156972885,0.08260127156972885,0.017594119580462576,0.04384460672736168,0.04384460672736168,0.9002373814582825,same,1.0
belly,belly,noisy,True,belly,False,bother,0.001219276338815689,0.011087700724601746,0.02098008058965206,0.01794642631802708,0.02158387005329132,0.02158387005329132,0.7562549114227295,same,1.0
berry,berry,clear,False,body,False,body,0.0012778777163475752,0.05900752544403076,0.06064523756504059,0.016859075574669986,0.04083104431629181,0.04083104431629181,0.9069608449935913,same,1.0
berry,berry,noisy,False,body,False,issue,0.001205762499012053,0.0007008392130956054,0.023456377908587456,0.020928387330844997,0.027774512767791748,0.027774512767791748,0.5956535935401917,same,1.0
better,better,clear,False,leather,True,better,0.0012621020432561636,0.04653695598244667,0.04653695598244667,0.013707646697759628,0.03324652835726738,0.03324652835726738,0.9020957350730896,same,1.0
better,better,noisy,False,leather,False,speaker,0.0012058598222211003,0.00030567465000785887,0.014220829121768475,0.01984423549287021,0.024883098900318146,0.024883098900318146,0.5556853413581848,same,1.0
biscuit,biscuit,clear,True,biscuit,True,biscuit,0.0012368434108793736,0.026341181248426437,0.026341181248426437,0.010131131847389042,0.0232901182025671,0.0232901182025671,0.908490777015686,same,1.0
biscuit,biscuit,noisy,True,biscuit,False,insult,0.001205711392685771,0.0017593865050002933,0.015184885822236538,0.016857444765046237,0.021502245217561722,0.021502245217561722,0.709239661693573,same,1.0
bishop,bishop,clear,True,bishop,True,bishop,0.0012826707679778337,0.06273311376571655,0.06273311376571655,0.016560333706904202,0.04036880284547806,0.04036880284547806,0.9084944725036621,same,1.0
bishop,bishop,noisy,True,bishop,False,brother,0.001206392189487815,0.002041930565610528,0.01940828002989292,0.018868451218120755,0.024835485965013504,0.024835485965013504,0.6285077333450317,same,1.0
blanket,blanket,clear,True,blanket,True,blanket,0.001298717688769102,0.07518982887268066,0.07518982887268066,0.013579023974947632,0.030856329947710037,0.030856329947710037,0.9147341847419739,same,1.0
blanket,blanket,noisy,True,blanket,False,moment,0.0012059423606842756,0.0016127389390021563,0.020253416150808334,0.020150414026342333,0.024848120287060738,0.024848120287060738,0.6483093500137329,same,1.0
blessing,blessing,clear,True,blessing,True,blessing,0.0013281377032399178,0.09754294157028198,0.09754294157028198,0.018219387402758,0.04592359438538551,0.04592359438538551,0.9140232801437378,same,1.0
blessing,blessing,noisy,True,blessing,False,treatment,0.001205833861604333,0.0006120317266322672,0.015977969393134117,0.023200157411396503,0.030083883553743362,0.030083883553743362,0.5377132296562195,same,1.0
blister,blister,clear,True,blister,True,blister,0.0012629276607185602,0.04723101854324341,0.04723101854324341,0.013187032785266638,0.031819120049476624,0.031819120049476624,0.8972153663635254,same,1.0
blister,blister,noisy,True,blister,False,buyer,0.0012081051245331764,0.0025801139418035746,0.015279043465852737,0.019389210561290383,0.024127373471856117,0.024127373471856117,0.6287680268287659,same,1.0
blossom,blossom,clear,True,blossom,True,blossom,0.0012662456138059497,0.0498703308403492,0.0498703308403492,0.01491749077802524,0.0361894816160202,0.0361894816160202,0.9092568159103394,same,1.0
blossom,blossom,noisy,True,blossom,False,captain,0.0012058498105034232,0.0007394834537990391,0.030926167964935303,0.021133394282311202,0.026409484446048737,0.026409484446048737,0.6163250803947449,same,1.0
blunder,blunder,clear,True,blunder,True,blunder,0.0013172936160117388,0.08934561163187027,0.08934561163187027,0.015862840808462352,0.03955422341823578,0.03955422341823578,0.9051494598388672,same,1.0
blunder,blunder,noisy,True,blunder,False,compact,0.0012059073196724057,0.00024021530407480896,0.01519100647419691,0.021554709542542697,0.02712426520884037,0.02712426520884037,0.5824077129364014,same,1.0
boating,boating,clear,True,boating,True,boating,0.0013028812827542424,0.07836217433214188,0.07836217433214188,0.01677115874364972,0.040911443531513214,0.040911443531513214,0.905636727809906,same,1.0
boating,boating,noisy,True,boating,False,trombone,0.001205784734338522,0.0002593584649730474,0.014529644511640072,0.02259965925104916,0.02873833291232586,0.02873833291232586,0.5673383474349976,same,1.0
body,body,clear,True,body,True,body,0.0013781487941741943,0.13443852961063385,0.13443852961063385,0.023311671571806074,0.055835019797086716,0.055835019797086716,0.9336236715316772,same,1.0
body,body,noisy,True,body,True,body,0.0012286178534850478,0.018660597503185272,0.018660597503185272,0.023720153667032718,0.028558623045682907,0.028558623045682907,0.6881065368652344,same,1.0
bonus,bonus,clear,False,body,True,bonus,0.001254840986803174,0.04082551598548889,0.04082551598548889,0.014866354417987167,0.0355554036796093,0.0355554036796093,0.9049168229103088,same,1.0
bonus,bonus,noisy,False,body,False,future,0.0012058955617249012,0.00037474624696187675,0.014252540655434132,0.020928984667174518,0.0255273524671793,0.0255273524671793,0.610906720161438,same,1.0
border,border,clear,True,border,True,border,0.0012577158631756902,0.04312097281217575,0.04312097281217575,0.014295262820087373,0.03418552130460739,0.03418552130460739,0.8918987512588501,same,1.0
border,border,noisy,True,border,False,mankind,0.0012059335131198168,0.00014472880866378546,0.016524475067853928,0.02175391164701432,0.02643626742064953,0.02643626742064953,0.5412771105766296,same,1.0
boredom,boredom,clear,True,boredom,True,boredom,0.0014655296690762043,0.19580809772014618,0.19580809772014618,0.020830672563053668,0.055429063737392426,0.055429063737392426,0.8957914710044861,same,1.0
boredom,boredom,noisy,True,boredom,False,kernel,0.0012058521388098598,0.0005272769485600293,0.0119690652936697,0.020977602866478266,0.027099892497062683,0.027099892497062683,0.5999943017959595,same,1.0
bother,bother,clear,True,bother,True,bother,0.001337865018285811,0.10483358055353165,0.10483358055353165,0.02144943600287661,0.052828676998615265,0.052828676998615265,0.922735869884491,same,1.0
bother,bother,noisy,True,bother,False,lighter,0.0012137452140450478,0.006506848614662886,0.014264737255871296,0.022483012018725275,0.027960678562521935,0.027960678562521935,0.6625282764434814,same,1.0
bottle,bottle,clear,True,bottle,True,bottle,0.0013113731984049082,0.0848245769739151,0.0848245769739151,0.017059260686393827,0.04124465584754944,0.04124465584754944,0.9034775495529175,same,1.0
bottle,bottle,noisy,True,bottle,False,surprise,0.0012059292057529092,5.808406422147527e-05,0.02103329449892044,0.022874515641480683,0.029246533289551735,0.029246533289551735,0.5223479270935059,same,1.0
bottom,bottom,clear,True,bottom,True,bottom,0.0012619160115718842,0.046427205204963684,0.046427205204963684,0.014817695058882236,0.03504706174135208,0.03504706174135208,0.9075770378112793,same,1.0
bottom,bottom,noisy,True,bottom,False,error,0.0012057367712259293,0.0006956961588002741,0.017178641632199287,0.02196766710281372,0.028557386249303818,0.028557386249303818,0.5611223578453064,same,1.0
boulder,boulder,clear,True,boulder,True,boulder,0.0012568185338750482,0.042387910187244415,0.042387910187244415,0.011940784803126008,0.02931620180606842,0.02931620180606842,0.8890780210494995,same,1.0
boulder,boulder,noisy,True,boulder,False,breakfast,0.0012073704274371266,0.0024597265291959047,0.024881307035684586,0.018233546778559685,0.023891925811767578,0.023891925811767578,0.643464982509613,same,1.0
bouquet,bouquet,clear,True,bouquet,True,bouquet,0.0014236068818718195,0.16687986254692078,0.16687986254692078,0.02286266601085663,0.05931929498910904,0.05931929498910904,0.9145808219909668,same,1.0
bouquet,bouquet,noisy,True,bouquet,False,pliers,0.0012057943968102336,0.0005207805661484599,0.016969548538327217,0.022735150161199272,0.030784690752625465,0.030784690752625465,0.5386536717414856,same,1.0
bracelet,bracelet,clear,True,bracelet,True,bracelet,0.0012996020959690213,0.07585804164409637,0.07585804164409637,0.015539623375982047,0.03631090000271797,0.03631090000271797,0.8976643681526184,same,1.0
bracelet,bracelet,noisy,True,bracelet,False,despair,0.001205983804538846,0.001934876199811697,0.017952196300029755,0.019817396129481496,0.026164647191762924,0.026164647191762924,0.6251195073127747,same,1.0
brandy,brandy,clear,True,brandy,True,brandy,0.001299144933000207,0.07549789547920227,0.07549789547920227,0.015699808071833105,0.03770407289266586,0.03770407289266586,0.9143081307411194,same,1.0
brandy,brandy,noisy,True,brandy,False,future,0.0012057962594553828,0.0006835203967057168,0.01278487779200077,0.02247941564768553,0.027942417189478874,0.027942417189478874,0.5691036581993103,same,1.0
breakfast,breakfast,clear,True,breakfast,True,breakfast,0.001559893717058003,0.25815722346305847,0.25815722346305847,0.0247222392950207,0.06493327766656876,0.06493327766656876,0.9144458174705505,same,1.0
