word,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25
damage,a-cracked-screen-on-a-smartphone,a-torn-and-frayed-rope-hanging-from-a-broken-tree-branch,a-cracked-and-splintered-tree-trunk-after-a-storm,a-shattered-mirror-hanging-crookedly-on-a-wall,a-torn-page-from-a-book-lying-on-a-desk,a-person-holding-a-broken-arm-with-a-bandage-and-medical-supplies-nearby,a-pothole-on-a-worn-out-asphalt-road,a-mangled-garden-hose-after-a-lawnmower-accident,a-puddle-of-water-leaking-from-a-burst-pipe-under-the-kitchen-sink,a-torn-label-on-a-package-of-groceries,a-scratched-cd-with-music-notes-and-a-play-button,a-broken-toy-lying-on-a-playground-floor,a-broken-tile-on-a-kitchen-floor,a-bruise-on-a-person's-arm-after-being-hit-by-a-ball,a-broken-branch-hanging-from-a-dead-tree,a-broken-wheel-on-a-bicycle,a-damaged-and-bent-garden-rake-lying-on-the-ground,a-broken-and-bent-bicycle-wheel-lying-on-the-ground,a-person-holding-a-splintered-piece-of-wood-with-a-first-aid-kit-nearby,a-broken-and-shattered-picture-frame-on-a-table,a-cracked-windshield-of-a-car-on-the-side-of-the-road,a-dented-side-panel-on-a-bike-after-a-crash,a-crack-in-the-pavement-on-a-sidewalk,a-shattered-windshield-of-a-car-on-the-side-of-the-road,a-mangled-metal-beam-lying-amidst-the-rubble-of-a-construction-site
dancer,a-dance-recital-with-a-sea-of-young-students-performing-on-stage,"a-person-running-through-a-field-of-flowers,-arms-outstretched-in-a-whimsical-dance",a-pair-of-pointe-shoes-on-a-wooden-floor,a-close-up-view-of-a-dancer's-face-with-a-mixture-of-concentration-and-joy,a-dance-studio-filled-with-rows-of-mirrored-walls-and-hardwood-floors,a-group-of-people-gathered-to-watch-a-contemporary-dance-performance,a-person-in-a-tutu-and-ballet-shoes-standing-in-a-studio-with-mirrors,a-dance-company's-logo-on-a-marquee-outside-a-theater,a-floor-to-ceiling-mirror-in-a-dance-studio-reflecting-a-group-of-students,a-person-wearing-a-top-hat-and-holding-a-cane-in-a-dance-studio,a-person-in-a-leotard-and-leggings-practicing-a-pirouette,a-man-in-a-suit-and-tie-sipping-a-drink-at-a-crowded-nightclub,a-spotlight-technician-adjusting-a-lamp-during-a-performance,a-pair-of-hands-clasped-together-in-a-dramatic-pose-on-a-dance-studio-floor,a-dancer-in-a-tutu-practicing-a-plié-in-a-studio-mirror,a-pair-of-jazz-hands-in-the-air-with-fingers-spread-wide,a-person-jumping-and-spinning-to-the-beat-of-a-lively-electronic-song,a-dance-instructor-guiding-a-student-through-a-series-of-movements-in-a-studio,a-dancer-leaping-through-the-air-with-arms-outstretched,"a-person-in-a-tutu,-leotard,-and-ballet-shoes-standing-on-a-stage",a-person-in-a-sparkly-costume-posing-for-a-photo-shoot,a-pair-of-pointe-shoes-laid-out-on-a-wooden-dance-barre,a-musician-on-stage-playing-a-guitar-behind-a-dancing-lead-singer,a-pair-of-tap-shoes-with-metal-plates-on-the-ball-and-heel,a-mirror-lined-dance-studio-with-a-barre-along-the-wall
dandruff,a-bottle-of-coconut-oil-sitting-on-a-bathroom-counter,a-bottle-of-tea-tree-oil-being-applied-to-the-scalp,a-box-of-medicated-shampoo-sitting-on-a-bathroom-counter,a-small-bag-of-medicated-powder-being-applied-to-the-scalp,a-person-using-a-humidifier-in-their-bedroom-to-reduce-flaking,a-person-using-a-scalp-massager-to-loosen-flakes,a-cotton-ball-being-used-to-gently-remove-flakes-from-the-scalp,a-hairpiece-or-wig-on-a-mannequin-head,a-dermatologist-examining-a-scalp-with-a-specialized-tool,a-white-powder-scattered-on-a-black-shirt-collar,a-close-up-view-of-a-scalp-with-visible-flakes-under-a-bright-light,a-hair-comb-with-visible-dandruff-flakes-stuck-between-the-teeth,a-person-with-a-severe-case-of-dandruff-sitting-in-front-of-a-dermatologist,"a-person-sitting-in-front-of-a-mirror,-examining-their-scalp",a-hairbrush-with-a-few-flakes-of-dandruff-stuck-to-the-bristles,a-bottle-of-antifungal-shampoo-sitting-next-to-a-sink,"a-person-looking-at-their-scalp-in-a-magnifying-mirror,-examining-flakes",a-bottle-of-antifungal-shampoo-on-a-bathroom-shelf,a-person-with-a-medicated-scalp-treatment-being-applied-by-a-dermatologist,a-person-gently-washing-their-hair-in-a-sink,"a-person-rinsing-their-hair-in-the-shower,-water-running-down-the-drain",a-bottle-of-tea-tree-oil-being-applied-to-the-scalp-to-reduce-flaking,a-hair-tie-or-clip-holding-back-a-flaky-scalp,a-medicated-shampoo-cap-being-squeezed-onto-a-scalp,a-small-pile-of-white-flakes-on-a-dark-shirt
danger,a-fire-burning-out-of-control-in-a-dry-field,a-police-helicopter-hovering-above-a-busy-city-street,a-firefighter-wearing-a-helmet-and-carrying-a-hose-running-towards-a-burning-building,a-person-wearing-a-hard-hat-and-safety-vest-on-a-construction-site,a-fire-engine-racing-down-a-highway-with-sirens-blaring,a-warning-sign-on-a-rickety-and-unstable-bridge,a-close-up-view-of-a-broken-glass-window-with-shards-of-glass-scattered-on-the-floor,a-warning-label-on-a-bottle-of-strong-cleaning-chemicals,a-hazardous-materials-truck-with-warning-lights-and-a-large-'hazmat'-sign,a-dark-and-stormy-night-with-lightning-illuminating-the-sky,a-person-running-away-from-a-burning-building-with-flames-licking-at-their-heels,a-person-being-treated-by-emergency-responders-after-a-car-accident,a-sign-on-a-door-that-says-'do-not-enter',a-close-up-view-of-a-poison-symbol-on-a-bottle-of-cleaning-chemicals,a-person-dodging-a-falling-rock-in-a-mountainous-terrain,a-driver-swerving-to-avoid-a-deer-crossing-the-road,a-police-officer-shining-a-flashlight-on-a-dark-street,a-person-wearing-a-gas-mask-while-walking-through-a-smoggy-city-street,a-snake-slithering-through-dry-leaves-in-a-forest,a-police-officer-wearing-a-bulletproof-vest-and-holding-a-gun,a-person-yelling-and-pointing-at-a-smoke-detector-beeping-loudly-in-a-kitchen,a-smoke-alarm-beeping-loudly-in-a-darkened-kitchen,a-person-wearing-a-gas-mask-walking-through-a-polluted-area,"a-close-up-view-of-a-sharp,-rusty-nail-sticking-out-of-a-wooden-plank",a-flashing-warning-light-on-the-dashboard-of-a-speeding-car
daylight,"a-row-of-solar-panels-on-a-rooftop,-angled-to-maximize-energy",a-tree-casting-a-long-shadow-on-a-lawn,"a-bright-blue-sky-with-white,-puffy-clouds","a-bird-perched-on-a-branch,-singing-in-the-morning",a-sunbeam-streaming-through-a-skylight-in-a-modern-office,a-flower-blooming-in-a-garden-with-dew-drops-on-its-petals,a-person-squinting-in-the-direct-sunlight-on-a-beach,a-person-riding-a-horse-through-a-field-of-wildflowers-on-a-sunny-day,a-sailboat-racing-across-a-choppy-ocean-with-a-cloudy-sky,a-farmer-working-in-a-field-with-a-wide-brimmed-hat,a-sunny-day-at-a-pool-with-people-swimming-and-lounging,a-person-reading-a-book-on-a-beach-towel-under-an-umbrella,a-person-squinting-in-the-bright-light-while-walking-outside,a-pair-of-sunglasses-lying-on-a-beach-towel,a-person-taking-a-photo-of-a-sunset-with-a-camera,a-child-playing-with-a-kite-in-a-park-on-a-breezy-day,a-person-reading-a-book-on-a-bench-in-a-park-with-a-large-tree,a-sun-shining-through-a-skylight-in-a-modern-living-room,"a-person-taking-a-selfie-in-front-of-a-bright,-sunny-background","a-gardener-watering-plants-with-a-hose-on-a-bright,-sunny-morning",a-bright-reflection-off-a-still-pond's-surface,a-picnic-blanket-spread-out-on-a-hillside-overlooking-a-valley,a-sailor-adjusting-a-pair-of-sunglasses-on-a-sailboat,a-car-driving-down-a-highway-with-the-sun-reflecting-off-the-hood,a-child-playing-outside-with-a-ball-on-a-sunny-day
debate,a-person-holding-a-'question'-sign-in-a-debate-forum,"a-person-looking-at-a-chart-or-graph-on-a-screen,-explaining-a-point",a-person-holding-a-microphone-with-a-lectern-nearby,a-crowd-of-people-watching-a-speaker-on-stage-with-their-hands-clasped,two-people-seated-across-from-each-other-at-a-wooden-table-with-a-moderator's-gavel-in-the-middle,"a-person-standing-at-a-microphone,-responding-to-a-question",a-politician-shaking-hands-with-an-opponent-after-a-heated-exchange,a-person-with-their-hand-raised-to-speak-in-a-crowded-meeting,a-person-writing-notes-on-a-notepad-with-a-pen,"a-person-sitting-at-a-desk-with-a-stack-of-papers,-a-pen,-and-a-calculator","a-person-holding-a-speech-bubble,-as-if-speaking-directly-to-the-audience",a-person-holding-a-sign-that-reads-'yes'-or-'no',a-speaker-gesturing-with-their-hands-while-standing-in-front-of-a-large-screen-displaying-a-presentation,"a-person-holding-a-stack-of-papers,-making-a-presentation","a-person-holding-a-small-card-with-notes,-speaking-to-a-packed-audience",a-person-scribbling-notes-on-a-notepad-while-listening-to-a-speech,a-person-standing-in-front-of-a-large-screen-displaying-a-video-presentation,a-person-flipping-through-a-stack-of-papers-on-a-table,a-person-typing-away-on-a-laptop-while-researching-a-topic,"a-person-standing-at-a-microphone,-speaking-to-a-small-group-of-people-in-a-conference-room",a-group-of-people-sitting-in-a-circle-on-the-floor-discussing,a-moderator-standing-at-a-podium-in-a-crowded-conference-hall,a-person-flipping-through-a-thick-book-of-notes-while-preparing-for-a-debate,"a-group-of-people-seated-in-a-circle,-engaged-in-a-discussion",a-person-gesturing-emphatically-with-their-hands-while-speaking-in-a-crowded-room
decay,"a-abandoned,-crumbling-lighthouse-with-broken-glass","a-stack-of-old,-yellowed-newspapers,-torn-and-discarded","a-sink-full-of-stagnant-water,-with-soap-scum-and-mildew",a-pile-of-old-and-yellowed-newspaper-in-a-corner,"a-tangled,-overgrown-vine-snaking-up-a-tree-trunk",moldy-bread-left-out-on-a-kitchen-counter,a-pile-of-worn-and-frayed-rope-tangled-on-the-ground,"a-rusted,-old-farm-implement-lying-in-a-field",a-patch-of-weeds-growing-through-cracks-in-a-sidewalk,a-rusty-old-gate-with-peeling-paint-and-broken-hinges,"a-neglected,-overgrown-cemetery-with-broken-headstones","a-broken,-discarded-toy,-left-in-a-park",a-rotting-apple-on-a-forest-floor,"a-forgotten,-overgrown-garden,-with-weeds-taking-over",a-window-with-broken-glass-and-a-boarded-up-frame,"a-pile-of-rotting-wood,-stacked-in-a-corner-of-a-woodworking-shop",fungi-growing-on-the-underside-of-a-fallen-tree-branch,"a-cobweb-covered,-dusty-chandelier-in-an-abandoned-mansion",a-pile-of-rotting-fruit-on-a-compost-heap,"a-crumbling-stone-wall-along-a-rural,-dirt-road","a-broken,-rusty-bicycle-leaning-against-a-chain-link-fence",a-once-clear-pond-now-cloudy-with-algae,a-layer-of-dust-and-grime-covering-a-shelf-of-antique-books,"a-rusty,-old-gate-hanging-crookedly-from-a-hinge","a-rusty,-old-bicycle-leaning-against-a-wall"
defeat,"a-chess-board-with-all-the-opponent's-pieces-still-standing,-while-the-player's-pieces-are-in-disarray",a-defeated-warrior-being-led-away-in-chains,a-defeated-poker-player-throwing-their-cards-in-the-air,a-defeated-chess-player-walking-away-from-the-board-with-their-head-hung-low,"a-sports-car-with-a-broken-engine,-parked-on-the-side-of-a-deserted-road","a-team-walking-off-the-field,-shaking-hands-with-their-opponents",a-defeated-chess-player-slumping-over-their-board,"a-fallen-soldier-lying-in-a-barren,-war-torn-landscape",a-boxer's-face-bloodied-and-bruised-in-a-boxing-ring,"a-soccer-player-being-substituted-out-of-the-game,-defeated-and-demoralized",a-torn-and-frayed-flag-hanging-limp-in-the-wind,a-crowd-of-people-cheering-as-a-team-wins-a-game,"a-knocked-over-domino,-with-its-partner-still-standing","a-defeated-politician-speaking-to-a-small,-disinterested-crowd",a-chess-player-studying-their-opponent's-victorious-smile,"a-defeated-athlete-receiving-a-medal,-but-with-a-look-of-disappointment",a-losing-player-throwing-their-racket-in-frustration,"a-scoreboard-showing-a-winning-team's-score,-with-a-large-margin",a-tennis-racket-broken-on-the-court-after-a-powerful-swing,a-defeated-chess-player-staring-at-their-opponent's-winning-piece,"a-businessperson-shaking-hands-with-a-competitor,-with-a-hint-of-sadness",a-referee-blowing-their-whistle-to-signal-a-foul,"a-defeated-athlete-walking-off-the-field,-head-hung-low",a-boxing-referee-holding-up-the-hand-of-the-winning-boxer,"a-defeated-person-walking-alone,-with-their-head-hung-low"
defence,"a-person-holding-a-baseball-bat,-standing-in-front-of-a-home-plate",a-person-in-a-martial-arts-uniform-sparring-with-a-partner,a-person-holding-a-whistle-in-a-school-hallway,a-person-wearing-a-gas-mask-in-a-hazmat-suit,a-person-in-a-boxing-ring-with-gloves-on-and-an-opponent-across-from-them,a-person-wearing-a-seatbelt-in-a-car-during-a-traffic-stop,a-person-holding-a-megaphone-in-a-public-rally,a-person-wearing-a-helmet-and-holding-a-bat-in-a-cricket-match,a-defensive-player-blocking-a-soccer-ball-with-their-body,a-person-wearing-a-gas-mask-and-holding-a-respirator-canister,a-person-wearing-a-motorcycle-helmet-and-riding-a-bike,a-military-aircraft-taking-off-from-a-runway,a-security-guard-patrolling-a-shopping-mall-with-a-walkie-talkie,a-person-wearing-a-helmet-and-holding-a-shield-in-a-medieval-reenactment,a-person-in-a-helmet-and-bulletproof-vest-standing-guard-at-a-gate,a-security-camera-mounted-on-a-building's-corner,a-person-using-a-pepper-spray-canister-for-self-defense,a-person-in-a-prison-cell-with-iron-bars-and-a-guard-watching-through-a-slot,a-group-of-people-wearing-gas-masks-during-a-chemical-spill,a-soldier-standing-guard-at-the-entrance-of-a-military-base,a-locked-and-alarmed-door-with-a-security-camera-above-it,a-person-standing-behind-a-one-way-mirror-in-a-police-interrogation-room,a-person-using-a-night-vision-goggles-for-surveillance,"a-goalie-in-a-hockey-mask,-guarding-the-net",a-pair-of-handcuffs-and-a-police-badge-on-a-belt
degree,a-map-showing-latitude-and-longitude-coordinates,a-protractor-lying-open-on-a-cluttered-desk,a-thermometer-in-a-medical-office-with-a-temperature-reading,a-map-with-latitude-and-longitude-lines-indicating-degrees-of-separation,a-measuring-stick-lying-across-a-sawhorse-on-a-construction-site,a-degree-of-freedom-shown-in-a-3d-animation-of-a-mechanical-arm,a-student-using-a-calculator-to-calculate-a-trigonometric-function,a-science-lab-with-equipment-and-diagrams-on-the-walls,a-diagram-showing-the-degrees-of-a-circle,a-degree-symbol-on-a-calculator-screen,a-protractor-being-used-to-measure-angles-in-a-geometry-class,a-construction-site-with-a-crew-discussing-building-plans,a-clock-with-its-hands-moving-at-a-steady-pace,a-student-taking-notes-on-a-lecture-about-trigonometry,a-teacher-writing-on-a-blackboard-with-a-piece-of-chalk-in-a-classroom,a-degree-symbol-on-a-diploma-certificate,a-set-of-architectural-blueprints-with-precise-measurements,a-weather-forecast-showing-a-temperature-range-on-a-screen,a-person-taking-a-temperature-reading-with-a-thermometer,a-level-tool-being-used-to-ensure-a-surface-is-perfectly-horizontal,a-weather-app-on-a-smartphone-showing-the-current-temperature,a-graduation-ceremony-with-caps-and-gowns-on-a-stage,a-set-of-stairs-with-a-clear-indication-of-each-step's-height,a-measuring-cup-filled-with-water-in-a-kitchen,a-math-problem-written-on-a-whiteboard-in-a-study-group
delight,a-plate-of-steaming-hot-pancakes-with-fresh-fruit-and-syrup,a-child-laughing-and-blowing-out-candles-on-a-birthday-cake,"a-warm,-crackling-fire-burning-in-a-cozy-living-room",a-sunny-beach-scene-with-palm-trees-swaying-in-the-breeze,a-cupcake-with-fluffy-pink-frosting-and-sprinkles-on-a-birthday-cake,"a-person-enjoying-a-relaxing,-peaceful-moment-by-a-calm-lake-on-a-serene-day","a-group-of-friends-laughing-and-having-a-picnic-in-a-beautiful,-green-meadow",a-cup-of-hot-chocolate-topped-with-whipped-cream-and-marshmallows,a-person's-face-filled-with-pride-while-holding-up-a-painting-they-created,a-person's-face-glowing-with-happiness-as-they-watch-a-beautiful-sunset-on-the-beach,a-child-receiving-a-gift-and-smiling-at-a-birthday-party,"a-colorful,-festive-christmas-tree-with-ornaments-and-lights-in-a-cozy-living-room","a-festive,-decorated-float-passing-by-in-a-lively-parade",a-group-of-friends-cheering-and-high-fiving-at-a-music-festival,a-close-up-view-of-a-person's-face-with-a-joyful-expression-during-a-surprise-party,"a-person-enjoying-a-delicious,-homemade-meal-with-family-and-friends",a-close-up-view-of-a-person's-hands-playing-a-musical-instrument-with-a-smile,a-plate-of-freshly-baked-chocolate-chip-cookies-straight-from-the-oven,a-fireworks-explosion-in-the-night-sky-over-a-beach,a-woman-smiling-and-holding-a-bouquet-of-sunflowers-on-a-sunny-day,a-child's-face-alight-with-excitement-as-they-unwrap-a-long-awaited-gift,"a-group-of-friends-laughing-and-taking-a-selfie-in-front-of-a-bright,-sunny-beach",a-person-wearing-a-bright-smile-while-holding-a-bouquet-of-colorful-flowers,"a-person-receiving-a-warm,-cozy-hug-from-a-loved-one",a-group-of-friends-cheering-together-at-a-sports-stadium
dentist,a-dental-appointment-schedule-on-a-calendar,a-dental-office-with-a-sign-that-says-'we-accept-most-insurances',a-dental-office's-schedule-displayed-on-a-calendar,a-dentist-handing-a-patient-a-mirror-to-inspect-their-teeth,a-hygienist-flossing-a-patient's-teeth-in-a-dentist's-office,a-tray-of-various-dental-tools-on-a-counter,a-hygienist-cleaning-a-patient's-teeth-with-a-scaling-tool-and-water,a-patient's-x-ray-displayed-on-a-wall-mounted-screen-in-a-dentist's-waiting-room,a-person-sitting-in-a-dental-chair-with-a-patient's-teeth-being-filled,a-patient's-x-rays-displayed-on-a-computer-screen-in-a-dental-office,a-patient's-teeth-being-cleaned-with-an-ultrasonic-scaler-in-a-dental-office,a-dental-chair-with-a-built-in-computer-screen-and-controls,a-dental-assistant-preparing-a-patient-for-a-procedure-by-handing-them-a-gown,a-chairside-assistant-handing-the-dentist-a-suction-tube,a-dentist-using-a-suction-device-to-remove-debris-from-a-patient's-mouth,a-dentist-using-a-laser-to-remove-plaque-and-bacteria-from-a-patient's-teeth,a-dental-office-waiting-room-with-chairs-and-magazines,a-dental-assistant-handing-the-dentist-a-cotton-ball,a-patient's-teeth-being-cleaned-with-a-water-pick,a-sink-with-a-water-fountain-and-a-toothbrush-on-the-edge,a-dentist-holding-a-drill-with-a-patient's-tooth-in-the-background,"a-chair-with-a-headrest-and-armrests,-positioned-in-front-of-a-dental-mirror-and-a-sink",a-tube-of-fluoride-toothpaste-on-a-bathroom-counter,a-dentist-wearing-gloves-and-a-face-mask,a-dentist's-desk-with-a-computer-and-patient-files
design,a-blueprints-spread-out-on-a-large-table-in-an-architect's-office,a-collage-of-magazine-cutouts-on-a-corkboard-in-a-creative-studio,a-3d-model-of-a-building-on-a-computer-screen-with-various-architectural-features,a-set-of-precision-cutting-tools-on-a-workbench-in-a-carpentry-shop,"a-set-of-construction-materials,-including-lumber,-nails,-and-power-tools",a-landscape-architect-reviewing-a-3d-model-on-a-tablet-outdoors,a-graphic-designer-working-on-a-logo-concept,a-person-working-on-a-digital-design-project-on-a-tablet,a-collection-of-fabric-swatches-and-threads-in-a-craft-room,a-photographer-setting-up-a-shot-in-a-studio-with-a-backdrop,a-design-team-collaborating-around-a-large-conference-table,a-designer's-portfolio-book-with-various-project-examples,a-person-researching-design-trends-on-a-tablet,a-sketchbook-filled-with-rough-drafts-and-ideas-on-a-coffee-table,a-person-working-on-a-graphic-novel-with-a-pencil-and-paper,a-draftsman-using-a-compass-and-straightedge-to-draw-a-circle,a-hand-drawn-logo-design-on-a-sticky-note,a-graphic-designer's-computer-screen-displaying-a-layout,"a-collection-of-art-supplies,-including-canvases,-paints,-and-brushes",a-makeup-artist-applying-designs-to-a-model's-face,a-room-with-a-projector-and-screen-for-design-presentations,a-person-sketching-on-a-whiteboard-in-a-conference-room,a-person-holding-a-paintbrush-and-standing-in-front-of-an-easel-with-a-half-finished-painting,a-portfolio-filled-with-various-prints-of-artistic-illustrations,"a-room-full-of-paint-swatches,-fabric-samples,-and-color-charts"
despair,a-desolate-and-barren-landscape-with-no-trees-or-plants-in-sight,"a-person-walking-alone-in-a-deserted-park,-with-only-the-sound-of-leaves-crunching-beneath-their-feet","a-cluttered,-dimly-lit-apartment-with-dirty-dishes-and-unwashed-laundry","a-person-sitting-in-a-quiet,-peaceful-forest,-surrounded-by-nature,-but-their-expression-is-one-of-sadness-and-loss",a-person-walking-alone-in-a-desolate-and-empty-parking-lot,"a-person-walking-alone-in-a-busy-street,-with-only-the-sound-of-car-horns-and-the-hum-of-traffic","a-desolate,-abandoned-lot-overgrown-with-weeds-and-littered-with-trash",a-row-of-unpaid-bills-and-overdue-notices-on-a-kitchen-counter,"a-person-standing-at-a-gravesite,-surrounded-by-wilted-flowers-and-a-weathered-headstone","a-person-staring-at-a-blank-wall,-with-a-single,-forgotten-photograph-tacked-to-the-surface","a-dark,-abandoned-alleyway-with-trash-and-debris-scattered-about","a-person-standing-alone-on-a-windswept,-rocky-beach,-staring-out-at-the-vast-ocean","a-person-sitting-in-a-small,-cramped-apartment,-surrounded-by-the-smell-of-mold-and-decay","a-person-sitting-in-a-hospital-room,-surrounded-by-sterile-equipment-and-medical-charts,-looking-worried-and-scared",a-shattered-mirror-hanging-on-a-wall-with-broken-glass-scattered-on-the-floor,"a-person-slumped-over-a-desk,-surrounded-by-stacks-of-unfinished-work","a-rain-soaked,-empty-city-street-with-grey-skies-above","a-small,-forgotten-room-with-a-single,-dusty-chair-and-a-faded-rug","a-person's-eyes-cast-downward,-looking-at-the-ground-with-a-defeated-expression","a-dimly-lit,-cramped,-and-cluttered-attic-with-old-trunks-and-boxes",a-person-staring-at-a-blank-wall-with-no-windows-or-furniture,"a-small,-flickering-flame-in-a-candle-on-a-cold,-dark-night","a-person-holding-a-phone-with-a-sad,-worried-expression,-surrounded-by-stacks-of-unpaid-bills","a-person-sitting-in-a-dimly-lit,-cluttered-attic,-surrounded-by-old-trunks-and-dusty-boxes",a-person-sitting-in-a-hospital-waiting-room-with-a-worried-expression
device,a-radio-tuned-to-a-news-station-in-a-car,a-smart-speaker-sitting-on-a-kitchen-counter-with-a-display-screen,a-desktop-computer-tower-on-the-floor-next-to-a-chair,a-video-game-controller-held-in-a-person's-hand,a-pair-of-binoculars-held-by-a-birdwatcher,a-pair-of-headphones-hanging-around-a-person's-neck,a-desktop-computer-tower-on-the-floor-of-a-home-office,a-cash-register-with-a-point-of-sale-screen-at-a-retail-checkout,a-cordless-microphone-on-a-stage-at-a-concert,a-handheld-video-game-console-lying-on-a-couch-cushion,a-smartwatch-on-a-person's-wrist-while-they're-running,a-gaming-console-sitting-under-a-large-screen-tv,a-cordless-phone-sitting-on-a-bedside-table,a-laptop-open-on-a-crowded-airplane-tray-table,a-video-conferencing-device-on-a-conference-table,a-projector-shining-a-presentation-on-a-screen,a-camera-lens-attached-to-a-camera-body-in-a-studio,a-clock-radio-sitting-on-a-nightstand-in-a-bedroom,a-pair-of-wireless-earbuds-charging-on-a-bedside-table,a-keyboard-being-typed-on-by-a-programmer-in-a-coding-session,a-medical-device-such-as-an-ecg-monitor-in-a-hospital-room,a-music-synthesizer-keyboard-on-a-musician's-music-stand,a-computer-monitor-on-a-wall-in-a-home-office,a-landline-phone-sitting-on-a-desk-in-a-small-business-office,a-laptop-computer-sitting-on-a-desk-in-a-home-office
devil,"a-group-of-people-gathered-around-a-table,-playing-poker-with-a-figure-in-the-center,-dressed-as-a-devil","a-miniature,-detailed-model-of-a-demonic-creature-on-a-chessboard",a-person-in-a-costume-with-horns-and-a-tail-posing-for-a-halloween-photo-shoot,"a-person-in-a-red-costume-with-a-long,-pointed-tail-and-pitchfork-at-a-halloween-party","a-picture-of-a-red,-horned-creature-with-a-pitchfork-standing-in-front-of-a-dark,-stormy-sky","a-group-of-people-dressed-as-devils,-performing-a-dark,-ritualistic-dance-in-a-abandoned,-mystical-temple","a-fiery,-hellish-landscape-with-flames-and-lava-flowing-in-the-background","a-figure-in-a-red-suit,-riding-a-motorcycle-and-surrounded-by-flames-in-a-futuristic,-urban-landscape",a-depiction-of-a-devil-or-demon-in-a-comic-book-or-graphic-novel,a-close-up-view-of-a-pair-of-horns-on-a-person's-head-at-a-costume-party,a-group-of-people-gathered-around-a-ouija-board-or-other-divination-device,"a-person-playing-a-musical-instrument,-such-as-a-trumpet,-with-a-devilish-grin","a-figure-in-a-red-suit,-holding-a-contract-and-standing-on-a-pile-of-money-in-a-fantasy,-medieval-landscape","a-group-of-people-in-a-dark,-crowded-nightclub-with-flashing-lights-and-loud-music",a-person-in-a-devil-costume-holding-a-'666'-sign-at-a-rock-concert,"a-pair-of-pitchforks-leaning-against-a-stone-wall-in-a-dark,-mystical-forest",a-depiction-of-a-devil-or-demon-in-a-painting-or-artwork,a-person-in-a-red-devil-costume-holding-a-sign-that-says-'welcome-to-hell'-at-a-party,"a-fiery,-red-skinned-creature-with-horns-and-a-tail-standing-in-a-dark,-smoky-pit",a-person-in-a-devil-costume-holding-a-sign-that-says-'beware'-at-a-crossroads,"a-pair-of-horns,-one-red-and-one-black,-sitting-on-a-shelf-in-a-dimly-lit,-occult-shop",a-painting-of-a-devilish-figure-tempting-a-saint-in-a-medieval-style-art-piece,"a-close-up-view-of-a-pair-of-red,-glowing-eyes-peeking-out-from-behind-a-curtain",a-pair-of-goat-like-horns-protruding-from-a-person's-head-or-body,"a-depiction-of-a-devil-being-tempted-by-a-beautiful,-seductive-woman-in-a-classic,-renaissance-painting"
dial,a-person-adjusting-a-temperature-dial-on-a-stove-in-a-kitchen,a-radio-with-a-rotating-dial-on-a-wooden-console-in-a-living-room,"a-person-tuning-a-guitar-with-a-small,-rotating-peg",a-person-fiddling-with-a-dial-on-an-old-camera,a-gas-oven-with-a-temperature-dial-on-its-control-panel,a-compass-with-a-rotating-dial-showing-directions,a-radio-tuner-with-buttons-and-a-display-screen,a-thermostat-with-a-temperature-dial-and-a-small-display-screen,"a-person's-hands-turning-a-large,-mechanical-dial-on-a-old-fashioned-gramophone",a-car's-fuel-gauge-with-a-dial-showing-the-level,"a-clock-radio-with-a-large,-round-dial-and-a-few-alarm-buttons",a-watch-with-a-small-analog-face-and-a-leather-strap,"a-person's-hands-adjusting-a-large,-mechanical-dial-on-a-old-fashioned-sewing-machine",a-door-lock-with-a-dial-and-a-small-keypad-for-entry,a-tv-remote-control-with-a-dial-for-volume-and-a-few-button-shortcuts,a-speedometer-displaying-a-circular-dial-on-a-motorcycle's-handlebars,"a-person's-hands-rotating-a-small,-circular-dial-on-a-toy-submarine",a-camera-lens-with-a-ring-shaped-dial-on-a-photographer's-hands,a-medical-device-with-a-dial-for-administering-medication,a-machine-with-a-series-of-dials-and-gauges-for-monitoring-performance,a-person-adjusting-a-camera's-aperture-dial-for-better-lighting,a-person-setting-a-sewing-machine's-stitch-length-dial,"a-clock-face-with-a-large,-circular-dial-on-a-wall-in-a-public-square",a-camera-aperture-control-with-a-ring-shaped-dial-on-a-photographer's-hands,"a-person-using-a-dial-on-a-musical-instrument,-such-as-a-synthesizer"
